Reef_Site_Name,OCS Region,Reef Structures,USACOE Permit,USACOE Permit Approval,USACOE Permit Expiration,TX GLO Surface Lease,TX GLO SL Approval,TX GLO SL Expiration,Reef Site Dimensions (ft),Reef Size (Acres),Water Depth (ft),Profile of Material (ft),Distance from Nearest Port (NM),Nearest Port,TX State Waters ,USCG Clearance Required (ft),PATON Buoy,PATON Buoy Type,PATON Buoy Number,PATON Buoy Established,Longitude WGS84,Latitude WGS84
BA-336 - George Vancouver Liberty Ship,BA,Liberty Ship & Pyramids,SWG-2010-00264,03/28/77,12/31/17,SL20070057,7/1/2009                 4/1/2011 (Expanded),06/30/29,2640' x 2640',160,55,22,8.63,Freeport,Y,33,Permanent,Unlighted,FR-TX-5,01/24/96,-95.348,28.793
BA-439 - Matagorda,BA,Pyramids,SWG-2009-01139,01/20/17,01/20/22,SL20070057,06/21/11,12/31/28,2640' x 2640',160,60,10,29.4,Port O'Connor,Y,50,Waived,,,,-95.781,28.517
BA-A-132,BA,Platforms,19634(04),09/24/92,12/31/17,,,,1320' x 1320',40,200,115,39.58,Port O'Connor,,85,Waived,,,,-95.990,27.823
BA-A-23,BA,Platforms,SWG-2014-00327,09/03/14,12/31/19,,,,1320' x 1320',40,131,81,36,Port O'Connor,,50,Permanent,Lighted,FR-TX-54,11/06/14,-95.716,28.127
BA-A-28,BA,Platforms,19414(04),11/18/91,12/31/17,,,,1320' x 1320',40,150,65,46.54,Port O'Connor,,85,Waived,,,,-95.495,28.150
BA-A-47,BA,Platforms,SWG-2015-00608,10/08/15,12/31/20,,,,1320' x 1320',40,141,91,31,Port O'Connor,,50,Permanent,Lighted,FR-TX-55,09/12/17,-95.873,28.057
EB-110,EB,Platforms,SWG-2013-00126,10/29/14,12/31/19,,,,1320' x1320',40,658,568,89,Galveston,,90,Waived,,,,-94.884,27.859
EB-159,EB,Platforms,SWG-2015-00776,08/17/16,08/17/18,,,,1900' x 1900',83,925,835,74.4,Freeport,,90,Waived,,,,-94.626,27.828
EB-160,EB,Platforms,SWG-2015-00775,08/17/16,08/17/18,,,,1900' x 1900',83,935,845,76.1,Freeport,,90,Waived,,,,-94.551,27.833
GA-189 - Barr's,GA,Reef Balls,SWG-2001-1797,04/11/68,12/31/17,,,,1320' x 1320',40,57,7,11.22,Galveston,,50,Waived,,,,-94.702,29.140
GA-189 - Mitchell's,GA,Platforms,SWG-2001-01795,09/17/98,12/31/18,,,,1320' x 1320',40,60,10,11.07,Galveston,,50,Permanent,Lighted,FR-TX-25,10/09/98,-94.681,29.143
GA-220 - Big Mans Reef,GA,Pyramids & Reef Plates,SWG-2015-00331,07/15/15,12/31/20,SL20150034,11/01/15,10/31/35,2640' x 2640',160,48,18,6.55,Galveston,Y,30,Waived,,,,-94.889,29.098
GA-220 - Kate's Reef,GA,Cetus,SWG-2019-00184,07/24/19,07/24/21,SL20150034,11/01/15,10/31/35,2640' x 2640',160,49,19,6.86,Galveston,Y,30,Waived,,,,-94.905,29.083
GA-288 - Buccaneer,GA,Platforms,SWG-2002-01652,11/26/02,12/31/17,,,,1320' x 1320',40,70,20,26.05,Galveston,,50,Permanent,Lighted,FR-TX-41,01/17/03,-94.696,28.892
GA-296 - Buccaneer,GA,Platforms,SWG-2002-01652,11/26/02,12/31/18,,,,1320' x 1320',40,70,20,27.49,Galveston,,50,Permanent,Lighted,FR-TX-42,01/17/03,-94.699,28.868
GA-A-125,GA,Platforms,SWG-1998-02372,08/05/98,12/31/18,,,,1320' x 1320',40,166,81,50.28,Freeport,,85,Waived,,,,-94.723,28.252
GA-A-22 - Freeport Liberty Ship,GA,Liberty Ships & Platforms,SWG-1991-01749,06/28/74,12/31/18,,,,2640' x 2640',160,102,42,32.04,Freeport,,60,Waived,,,,-94.812,28.596
GB-142,GB,Platforms,SWG-2015-00083,06/11/15,12/31/20,,,,1320' x 1320',40,542,433,113,Galveston,,107,Waived,,,,-93.431,27.809
GB-189,GB,Platforms,SWG-2015-00082,06/11/15,12/31/20,,,,2000' x 2000',92,589,458,113,Galveston,,131,Waived,,,,-93.307,27.776
HI-117 - Basco's,HI,Quarry Blocks & Reef Balls,20016(03),06/28/94,12/31/17,,,,1320' x 1320',40,50,20,21.24,Sabine Pass,,30,Waived,,,,-93.889,29.300
HI-117 - Sabine,HI,Quarry Blocks,20016(03),06/28/94,12/31/17,,,,1320' x 1320',40,43,13,21.36,Sabine Pass,,30,Waived,,,,-93.922,29.304
